slang,formal,category,length
dl,dulu,abreviasi,2
ajaaa,saja,zeroisasi,5
mo,mau,monoftongisasi,2
nged,banget,abreviasi,4
ksitu,kesitu,abreviasi,5
binggo,banget,coinage,6
bwt,buat,abreviasi,3
yaakkk,ya,elongasi,6
bangg,bang,elongasi,5
blg,bilang,abreviasi,3
ad,ada,abreviasi,2
cwo,cowok,abreviasi,3
klw,kalau,abreviasi,3
mmg,memang,abreviasi,3
g,enggak,word-value letter,1
slh,salah,abreviasi,3
sm,sama,abreviasi,2
pulak,pula,anaptiksis,5
ihhhhh,ih,elongasi,6
ajh,saja,abreviasi,3
sudh,sudah,abreviasi,4
sbr,sabar,abreviasi,3
ht,hati,abreviasi,2
jg,juga,abreviasi,2
aqu,aku,subtitusi,3
akn,akan,abreviasi,3
mlm,malam,abreviasi,3
krn,karena,abreviasi,3
sk,suka,abreviasi,2
bingit,banget,modifikasi vokal,6
iniw,ini,anaptiksis,4
q,ku,homofon,1
bngett,banget,abreviasi,6
br,baru,abreviasi,2
brpa,berapa,abreviasi,4
ihh,ih,elongasi,3
ntr,entar,abreviasi,3
kya,kaya,abreviasi,3
keq,kek,subtitusi,3
sygkuu,sayangku,abreviasi,6
bg,bang,abreviasi,2
nha,nya,salah ketik,3
bdn,badan,abreviasi,3
na,nya,abreviasi,2
lau,kau,subtitusi,3
ituu,itu,elongasi,4
gn,begini,abreviasi,2
yaahhh,ya,elongasi,6
kra,kira,abreviasi,3
lahh,lah,elongasi,4
kog,kok,subtitusi,3
mbk,mbak,abreviasi,3
ajaa,saja,zeroisasi,4
mbg,mbak,abreviasi,3
gituh,begitu,zeroisasi,5
dpn,depan,abreviasi,3
pi,tapi,zeroisasi,2
mauuu,mau,elongasi,5
bli,beli,zeroisasi,3
nii,ini,elongasi,3
k,ke,abreviasi,1
kl,kalau,abreviasi,2
dpt,dapat,abreviasi,3
qta,kita,homofon,3
lw,lu,subtitusi,2
gga,enggak,abreviasi,3
yaah,ya,anaptiksis,4
mcm,macam,abreviasi,3
kuy,yuk,metatesis,3
udahh,sudah,zeroisasi,5
kqmu,kamu,salah ketik,4
thn,tahun,abreviasi,3
kapn,kapan,abreviasi,4
bln,bulan,abreviasi,3
dlam,dalam,abreviasi,4
dh,deh,abreviasi,2
sichh,sih,anaptiksis,5
