slang,formal,category,length
klu,kalau,abreviasi,3
dg,dengan,abreviasi,2
tw,tau,abreviasi,2
yup,ya,modifikasi vokal,3
tdk,tidak,abreviasi,3
ajja,saja,zeroisasi,4
gya,gaya,abreviasi,3
sbg,sebagai,abreviasi,3
u,untuk,word-value letter,1
bc,baca,abreviasi,2
hay,hai,homofon,3
py,punya,abreviasi,2
wlo,walau,abreviasi,3
lh,lah,abreviasi,2
tx,tak,abreviasi,2
tar,entar,zeroisasi,3
keq,kayak,abreviasi,3
fi,di,salah ketik,2
ttg,tentang,abreviasi,3
kl,kalo,abreviasi,2
ja,saja,abreviasi,2
dh,dah,abreviasi,2
lma,lama,abreviasi,3
ikh,ih,anaptiksis,3
dwh,deh,salah ketik,3
la,lah,zeroisasi,2
ush,usah,abreviasi,3
stu,satu,abreviasi,3
tlp,telepon,abreviasi,3
mkn,makin,abreviasi,3
pk,pakai,abreviasi,2
tk,tak,abreviasi,2
say,sayang,abreviasi,3
hnya,hanya,abreviasi,4
sj,saja,abreviasi,2
sna,sana,abreviasi,3
x,kali,word-value letter,1
tot,entot,abreviasi,3
bgi,bagi,abreviasi,3
tlg,tolong,abreviasi,3
tdi,tadi,abreviasi,3
mgk,mungkin,abreviasi,3
dng,dengan,abreviasi,3
bhw,bahwa,abreviasi,3
ni,nih,zeroisasi,2
mba,mbak,zeroisasi,3
elu,lu,anaptiksis,3
jkt,jakarta,abreviasi,3
suk,suka,abreviasi,3
gx,enggak,abreviasi,2
nd,indak,abreviasi,2
da,sudah,abreviasi,2
sby,surabaya,abreviasi,3
tgl,tanggal,abreviasi,3
enk,enak,abreviasi,3
knl,kenal,abreviasi,3
slm,salam,abreviasi,3
hy,hai,subtitusi,2
uhh,uh,elongasi,3
da,ada,zeroisasi,2
ygs,sayang,abreviasi,3
krm,kirim,abreviasi,3
sam,sama,abreviasi,3
skg,sekarang,abreviasi,3
plg,pulang,abreviasi,3
skr,sekarang,abreviasi,3
kpd,kepada,abreviasi,3
hr,hari,abreviasi,2
spy,supaya,abreviasi,3
nnt,nanti,abreviasi,3
cew,cewek,abreviasi,3
cow,cowok,abreviasi,3
luu,lu,elongasi,3
yoo,ayo,zeroisasi,3
lt,lantai,abreviasi,2
cwe,cewek,abreviasi,3
seh,sih,modifikasi vokal,3
mh,mah,abreviasi,2
px,punya,abreviasi,2
dgr,dengar,abreviasi,3
dah,deh,modifikasi vokal,3
jt,juta,abreviasi,2
stp,setiap,abreviasi,3
m,sama,word-value letter,1
lyt,lihat,abreviasi,3
cem,macam,abreviasi,3
yee,ya,modifikasi vokal,3
bz,bisa,abreviasi,2
aje,saja,zeroisasi,3
yok,yuk,modifikasi vokal,3
mmz,mas,abreviasi,3
pu,punya,abreviasi,2
waw,wow,modifikasi vokal,3
bsk,besok,abreviasi,3
mz,mas,abreviasi,2
hri,hari,abreviasi,3
dtg,datang,abreviasi,3
ps,pas,abreviasi,2
dak,indak,abreviasi,3
sdg,sedang,abreviasi,3
lwt,lewat,abreviasi,3
cma,cuma,abreviasi,3
jwb,jawab,abreviasi,3
gaa,enggak,abreviasi,3
mti,mati,abreviasi,3
aer,air,modifikasi vokal,3
gg,enggak,abreviasi,2
pjg,panjang,abreviasi,3
bca,baca,abreviasi,3
klg,keluarga,abreviasi,3
yuu,yuk,zeroisasi,3
ono,sono,abreviasi,3
loo,loh,abreviasi,3
yh,ya,abreviasi,2
iaa,iya,subtitusi,3
ska,suka,abreviasi,3
to,tapi,abreviasi,2
cba,coba,abreviasi,3
nh,nih,abreviasi,2
hub,hubungi,abreviasi,3
ujg,ujung,abreviasi,3
smp,sampai,abreviasi,3
kki,kaki,abreviasi,3
tay,tahi,subtitusi,3
ori,orisinal,abreviasi,3
mao,mau,modifikasi vokal,3
wjh,wajah,abreviasi,3
skt,sakit,abreviasi,3
tsb,tersebut,abreviasi,3
t4,tempat,subtitusi,2
gr2,gara-gara,abreviasi,3
sud,sudah,abreviasi,3
scr,secara,abreviasi,3
kln,kalian,abreviasi,3
bnr,benar,abreviasi,3
flm,film,abreviasi,3
pulaa,pula,elongasi,5
ajahhh,saja,elongasi,6
pkk,pakai,abreviasi,3
ade,adek,zeroisasi,3
z,saja,word-value letter,1
kox,kok,subtitusi,3
th,teh,abreviasi,2
tmn,teman,abreviasi,3
iih,ih,elongasi,3
blh,boleh,abreviasi,3
lh,boleh,abreviasi,2
do,di,salah ketik,2
ajjh,saja,abreviasi,4
may,mau,salah ketik,3
so,sok,zeroisasi,2
mst,mesti,abreviasi,3
add,ada,abreviasi,3
see,sih,subtitusi,3
wk,waktu,abreviasi,2
eey,eh,subtitusi,3
hny,hanya,abreviasi,3
bka,buka,abreviasi,3
