slang,formal,category,length
tappi,tapi,elongasi,5
kalli,kali,elongasi,5
lluu,lu,elongasi,4
kaya'a,kayanya,pungtuasi,6
tpii,tapi,abreviasi,4
drii,dari,abreviasi,4
syng,sayang,abreviasi,4
sdgkn,sedangkan,abreviasi,5
"apa""",apa-apa,reduplikasi,4
drpada,daripada,abreviasi,6
diemm,diam,modifikasi vokal,5
apalai,apalagi,abreviasi,6
nyadar,menyadari,afiksasi,6
bebrp,beberapa,abreviasi,5
sblum,sebelum,abreviasi,5
ksyngn,kesayangan,abreviasi,6
haru,harus,abreviasi,4
maau,mau,elongasi,4
keak,kayak,subtitusi,4
shaay,say,anaptiksis,5
yaaah,ya,elongasi,5
gituan,begituan,abreviasi,6
kaga,kagak,zeroisasi,4
suda,sudah,zeroisasi,4
kayaq,kayak,subtitusi,5
gnii,begini,abreviasi,4
disni,disini,abreviasi,5
keknya,kayaknya,abreviasi,6
tap8,tapi,salah ketik,4
sihhhh,sih,elongasi,6
segtu,sebegitu,abreviasi,5
kgak,kagak,abreviasi,4
iyuh,ih,anaptiksis,4
pndang,pandang,abreviasi,6
mamas,mas,anaptiksis,5
sudab,sudah,salah ketik,5
aaahh,ah,elongasi,5
kaya,kayak,zeroisasi,4
hrus,harus,abreviasi,4
eehhh,eh,elongasi,5
iiii,ih,elongasi,4
dptnya,dapatnya,abreviasi,6
bisax,bisanya,word-value letter,5
mndpat,mendapat,abreviasi,6
d.apa,diapa,pungtuasi,5
apain,apai,afiksasi,5
tapo,tapi,modifikasi vokal,4
nyah,nya,anaptiksis,4
brsma,bersama,abreviasi,5
yyaaa,ya,elongasi,5
aelah,alah,anaptiksis,5
bukak,buka,anaptiksis,5
sdah,sudah,abreviasi,4
kelus,kali,subtitusi,5
yahhhh,ya,anaptiksis,6
synk,sayang,abreviasi,4
dtggu,ditunggu,abreviasi,5
dsini,disini,abreviasi,5
aama,sama,elongasi,4
arghhh,ah,anaptiksis,6
iiihh,ih,elongasi,5
yooow,ya,modifikasi vokal,5
kannn,kan,elongasi,5
apalgi,apalagi,elongasi,6
ponakn,ponakan,abreviasi,6
tdak,tidak,abreviasi,4
capa,sapa,subtitusi,4
adaa,ada,elongasi,4
kpnpun,kapanpun,abreviasi,6
iihh,ih,elongasi,4
udeh,sudah,zeroisasi,4
sma2,sama-sama,reduplikasi,4
siihhh,sih,elongasi,6
tapii,tapi,elongasi,5
utkmu,untukmu,abreviasi,5
kann,kan,elongasi,4
yaahh,ya,anaptiksis,5
kepda,kepada,abreviasi,5
sblmny,sebelumnya,abreviasi,6
yapp,ya,anaptiksis,4
kaleee,kali,modifikasi vokal,6
drmn,darimana,abreviasi,4
"laku""",laku-laku,reduplikasi,5
eeeeh,eh,elongasi,5
lakuin,melakukan,afiksasi,6
"diam""",diam-diam,reduplikasi,5
srpti,seperti,abreviasi,5
sgtu,sebegitu,abreviasi,4
brsama,bersama,abreviasi,6
diamkn,diamkan,abreviasi,6
hrsny,harusny,abreviasi,5
rasakn,rasakan,abreviasi,6
siihh,sih,elongasi,5
belom,belum,modifikasi vokal,5
padahl,padahal,abreviasi,6
prlu,perlu,abreviasi,4
blkng,belakang,abreviasi,5
blkang,belakang,abreviasi,6
gmau,enggak mau,akronim,4
siiih,sih,elongasi,5
naaaa,nya,elongasi,5
padhl,padahal,abreviasi,5
yaang,yang,elongasi,5
keee,ke,elongasi,4
makany,makanya,abreviasi,6
kdng,kadang,abreviasi,4
kdang,kadang,abreviasi,5
kayaa,kaya,elongasi,5
blum,belum,zeroisasi,4
khan,kan,anaptiksis,4
muuuu,mu,elongasi,5
tetp,tetap,abreviasi,4
biza,bisa,subtitusi,4
pdhall,padahal,abreviasi,6
